,,,,,,,Au6-H2O2_M1,-964.184789,-6.244970,,,Au5Fe-CH3_borde4_M5,39.2500604411,,,Au5Fe-HO_cara1_M5,75.5219631681,,Au5Fe-CH3+HO_M4_ts,-2056.324389,-1.297688612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au5Fe-H2O2_M4,-2092.263091,-14.233159,,,Au4Fe2-CH3_atop3C_M8,31.6000982223,,,Au4Fe2-HO_atop3O_M8,75.6499750042,,Au4Fe2-CH3+HO_M9_ts,-3184.380541,-1.276980815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au4Fe2-H2O2_M9,-3220.329906,-13.253618,,,Au3Fe3-CH3_atop5H_M11,55.4278699703,,,Au3Fe3-HO_bridge5-2_M11,96.6721540134,,Au3Fe3-CH3+HO_M12_qst2,-4312.449691,-3.072911573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au3Fe3-H2O2_M12,-4348.359214,-13.876107,,,Au2Fe4-CH3_M16_bridge3-6,47.5356892770,,,Au2Fe4-HO_M14_fourfold1,82.4502900368,,Au2Fe4-CH3+HO_M15_ts,-5440.444468,6.09311239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au2Fe4-H2O2_M15,-5476.375915,-10.575409,,,AuFe5-CH3_atopC1_M17,46.8027587646,,,AuFe5-HO_atopO1_M19,86.2768399187,,AuFe5-CH3+HO_M18_ts,-6568.461667,-1.784008087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AuFe5-H2O2_M18,-6604.387324,-14.086322,,,Fe6-CH3_atop2C_M22,44.4784654288,,,Fe6-HO_bridge1_M22,86.4117543543,,Fe6-CH3+HO_M21_ts,-7696.478679,-4.432723576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fe6-H2O2_M21,-7732.401288,-12.498097,,,,,,,Edis (M6 + CH3*) kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,zero point E(M6H2O2),Edis (M6-HO+HO)kcal/mol,,,,,OH*,-75.676995,45.7177957040,,,zero point E(M6CH3*),E (M6CH3+OH)kcal/mol,,,zero point E(M6HO*),E (M6OH+CH3)kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au6-HO_M,,,,opt,zero point E(M6H2O2)_c,Edis (M6-HO+HO)kcal/mol,,zero point E(M6HO*),Eform (M6-HO*)kcal/mol,,Au6-CH3_M2_cara5,-852.553413,,,Au6-HO_radical_M2_esquina3,-888.463052,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au5Fe-HO_M,,,,HO-Au6-HO_M,,,Au6-HO_radical_M2_esquina3,-888.463052,28.0760076780,,Au5Fe-CH3_borde4_M5,-1980.645326,,,Au5Fe-HO_cara1_M5,-2016.61091,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au4Fe2-HO_M,,,,HO-Au5Fe-HO_M,,,Au5Fe-HO_cara1_M5,-2016.61091,-15.5710083262,,Au4Fe2-CH3_atop3C_M8,-3108.701511,,,Au4Fe2-HO_atop3O_M8,-3144.67949,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au3Fe3-HO_M,,,,HO-Au4Fe2-HO_M,,,Au4Fe2-HO_atop3O_M8,-3144.67949,-16.6785617109,,Au3Fe3-CH3_atop5H_M11,-4236.767799,0.0000000000,,Au3Fe3-HO_bridge5-2_M11,-4272.741307,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au2Fe4-HO_M,,,,HO-Au3Fe3-HO_M12, -4348.556158,-123.584132,Au3Fe3-HO_bridge5-2_M11,-4272.741307,-37.0782517920,,Au2Fe4-CH3_M16_bridge3-6,-5364.777183,,,Au2Fe4-HO_M14_fourfold1,-5400.740604,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-AuFe5-HO_M,,,,HO-Au2Fe4-HO_M,,,Au2Fe4-HO_M14_fourfold1,-5400.740604,-26.1570851559,,AuFe5-CH3_atopC1_M17,-6492.781829,,,AuFe5-HO_atopO1_M19,-6528.752516,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Fe6-HO_M,,,,HO-AuFe5-HO_M,,,AuFe5-HO_atopO1_M19,-6528.752516,-26.4727221824,,Fe6-CH3_atop2C_M22,-7620.79462,,,Fe6-HO_bridge1_M22,-7656.769226,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HO-Fe6-HO_M,,,Fe6-HO_bridge1_M22,-7656.769226,-28.1958618971,,,,,,,,,,,,,,Alternativos (puro opt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,zero point E(M6CH3*),E (M6CH3+OH)kcal/mol,,,zero point E(M6HO*),E (M6OH+CH3)kcal/mol,,,zero point E(ts),Eform (ts)kcal/mol,,zero point E(ts),Eform (ts)kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Au6-CH3_M2_cara5,-852.553413,-928.33,,Au6-HO_radical_M2_esquina3,-888.463052,-928.327172,,Au6-HO+CH3_M1(2)_ts,-928.32,6.27509,,Au6-HO+CH3_M1(1)_ts,-928.3237622,2.139680188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,zero point E(M6HO*),Eform (M6-HO*)kcal/mol,,,,,Au5Fe-CH3_borde4_M5,-1980.645326,,,Au5Fe-HO_cara1_M5,-2016.61091,-2056.463527,,Au5Fe-CH3+HO_M4_ts,,,,Au5Fe-HO+CH3_M4_ts,-2056.455845,4.8205241380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Au6-HO_radical_M2_esquina3,-888.463052000,,,,,,Au4Fe2-CH3_atop3C_M8,-3108.701511,-3184.493977,,Au4Fe2-HO_atop3O_M8,-3144.67949,,,Au4Fe2-CH3+HO_M9_ts,-3184.41504,49.5336779331,,Au4Fe2-HO+CH3_M9_ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Au5Fe-HO_cara1_M5,-2016.610910000,,,,,,Au3Fe3-CH3_atop5H_M11,-4236.767799,,,Au3Fe3-HO_bridge5-2_M11,-4272.741307,,,Au3Fe3-CH3+OH_M12_ts,,,,Au3Fe3-OH+CH3_M12_ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Au4Fe2-HO_atop3O_M8,-3144.679490000,,,,,,Au2Fe4-CH3_M16_bridge3-6,-5364.777183,,,Au2Fe4-HO_M14_fourfold1,-5400.740604,-5440.540529,,Au2Fe4-CH3+HO_M15_ts,,,,Au2Fe4-HO+CH3_M15_ts,-5440.535525,3.1400550358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Au3Fe3-HO_bridge5-2_M11,-4272.741307000,86.5058807042,,,,,AuFe5-CH3_atopC1_M17,-6492.781829,,,AuFe5-HO_atopO1_M19,-6528.752516,,,AuFe5-CH3+HO_M18_ts,,,,AuFe5-HO+CH3_M18_ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Au2Fe4-HO_M14_fourfold1,-5400.740604000,,,,,,Fe6-CH3_atop2C_M22,-7620.79462,,,Fe6-HO_bridge1_M22,-7656.769226,,,Fe6-CH3+HO_M21_ts,,,,Fe6-HO+CH3_M21_ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AuFe5-HO_atopO1_M19,-6528.752516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zero point E(M6HO*),Eform ((M6H2O2 - HO)-M6H2O2)kcal/mol,,Fe6-HO_bridge1_M22,-7656.769226000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6-HO_radical_M2_esquina3,-888.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5Fe-HO_cara1_M5,-2016.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2-HO_atop3O_M8,-3144.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3-HO_bridge5-2_M11,-4272.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4-HO_M14_fourfold1,-5400.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuFe5-HO_atopO1_M19,-6528.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
