H*,-0.501035723,,,H*,formation ,kcal/mol,,specie,,specie,any,any,specie,VIP,,specie,any,,VEA,,,,,,,,,,,,,,,,μAu,M6,M6CH4,M6CH3,M6H2O2,M6HO,,,,,,,,,,,,,,,
Au2Fe4,-5324.932216,-5324.976893,,Au2Fe4,4,15,,1,-1817.492026,0.000,,,8.53,8.419,9.722,9.51,,,,,,,,,,,,,,,,,,,3,3.587,3.291,3.291,3.561,3.279,,,,,,,,,,,,,,,
AuFe5,-6452.93803,-6452.981086,,AuFe5,5,18,,2,-1817.485608,0.175,,,7.146,7.482,8.127,8.205,,,,,,,,,,,,,,,,,,,4,3.486,3.476,3.684,3.467,3.198,,,,,,,,,,,,,,,
Fe6,-7580.954525,-7580.99568,,Fe6,6,21,,2,-1817.485608,0.175,,,6.618,6.739,7.646,7.97,,,,,,,,,,,,,,,,,,,5,3.379,3.373,3.237,3.369,3.517,,,,,,,,,,,,,,,
,,,,,,eV,,3,-1817.324407,4.561,4.386,,6.734,6.916,6.651,7.535,,,,,,,,,,,,,,,,,,,6,3.333,3.335,3.504,3.339,3.48,,,,,,,,,,,,,,,
Au6CH3*,-852.553413,-852.612,,Au6CH3*,3.41,3.50,,3,-1817.324407,4.561,0.000,,6.472,6.632,6.682,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5FeCH3*,-1980.645326,-1980.700575,,Au5FeCH3*,2.68,2.85,,4,-1817.476485,0.423,,,promedio MC-H,7.557,7.704,,,,,,,,,,,,,,,,,,,,,μC,M6CH4,M6CH3,H2O2,HO,,,,,,,,,,,,,,,
Au4Fe2CH3*,-3108.701511,-3108.755483,,Au4Fe2CH3*,3.00,3.10,,4,-1817.476485,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.431,,,,,,,,,,,,,,,,,
Au3Fe3CH3*,-4236.767799,-4236.818416,,Au3Fe3CH3*,2.01,2.14,,5,-1817.486366,0.154,-0.269,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.003,0.062,,,,,,,,,,,,,,,,,
Au2Fe4CH3*,-5364.777183,-5364.827205,,Au2Fe4CH3*,2.38,2.44,,5,-1817.486366,0.154,0.000,,,,,,,,,,,,,,,,,,,,,,,,,2,0,-0.11,,,,,,,,,,,,,,,,,
AuFe5CH3*,-6492.781829,-6492.827619,,AuFe5CH3*,2.37,2.55,,6,-1817.57646,-2.298,-2.452,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.045,-0.045,,,,,,,,,,,,,,,,,
Fe6CH3*,-7620.79462,-7620.842557,,Fe6CH3*,2.43,2.55,,6,-1817.57646,-2.298,0.000,,,,,,,,,,,,,,,,,,,,,,,,,4,-0.015,-0.042,,,,,,,,,,,,,,,,,
,,,,Eads,,,,7,-1817.577253,-2.319,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.025,-0.104,,,,,,,,,,,,,,,,,
Au6CH4,-853.179721,-853.241605,,Au6CH4,-0.06,-0.40,,7,-1817.577253,-2.319,0.000,,,,,,,,,,,,,,,,,,,,,,,,,6,-0.017,-0.039,,,,,,,,,,,,,,,,,
Au5FeCH4,-1981.244695,-1981.306317,,Au5FeCH4,-0.05,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.134,,,,,,,,,,,,,,,,,
Au4Fe2CH4,-3109.312644,-3109.370426,,Au4Fe2CH4,-0.11,-0.32,,Fe1,G reacción,Au5Fe,,,,,,,,,,,,,,,,,,,,,,,,,,O,CH4,μO,M6H2O2,M6HO,,,,,,,,,,,,,,,
Au3Fe3CH4,-4237.342653,-4237.39804,,Au3Fe3CH4,-0.08,-0.29,,1,-4073.62554,0.000,,M-M distances,Au- Au,,,Fe-Fe,,,,Au-Fe,,,,,,,,,,,,,,,,,,0,0,0.323,,,,,,,,,,,,,,,
Au2Fe4CH4,-5365.3657,-5365.41791,,Au2Fe4CH4,-0.11,-0.32,,1,-4073.62554,0.000,,2.725,,,,2.724,,,,2.724,,,,,,,H3C-H,,HO-OH,,,,,,,,,1,0.007,0.188,,,,,,,,,,,,,,,
AuFe5CH4,-6493.370081,-6493.422355,,AuFe5CH4,-0.07,-0.32,,2,-4073.625121,0.011,,2.725,,2.61,,2.723,,2.61,,2.714,,2.648,,,,0,1.092,0,1.425,,,,,,,,,2,0.005,0.145,,,,,,,,,,,,,,,
Fe6CH4,-7621.38488,-7621.437481,,Fe6CH4,-0.03,-0.34,,2,-4073.625121,0.011,,3.081,2.584,2.574,,3.018,2.601,2.562,,2.967,2.634,2.561,,,,1,1.091,1,1.424,,,,,,,,,3,0.003,0.087,,,,,,,,,,,,,,,
,,,,Edis,,eV,,3,-4073.56158,1.740,1.729,,2.482,2.615,,,2.483,2.621,,,2.502,2.622,,,,2,1.092,2,1.426,,,,,,,,,4,-0.001,0.125,,,,,,,,,,,,,,,
Au6OH*,-888.463052,-888.517453,,Au6OH*,1.22,1.35,,3,-4073.56158,1.740,0.000,,2.483,2.65,,,2.489,2.657,,,2.491,2.669,,,,3,1.094,3,1.426,,,,,,,,,5,0.001,0.122,,,,,,,,,,,,,,,
Au5FeOH*,-2016.61091,-2016.666051,,Au5FeOH*,-0.68,-0.66,,4,-4073.69184,-1.804,,,2.458,2.689,,,2.459,2.697,,,2.461,2.709,,,,4,1.095,4,1.426,,,,,,,,,6,0.002,0.122,,,,,,,,,,,,,,,
Au4Fe2OH*,-3144.67949,-3144.732688,,Au4Fe2OH*,-0.72,-0.67,,4,-4073.69184,-1.804,,,2.466,,,,2.474,,,,2.479,,,,,5,1.094,5,1.430,,,,,,,,,,,1.025,,,,,,,,,,,,,,,
Au3Fe3OH*,-4272.741307,-4272.791169,,Au3Fe3OH*,-1.61,-1.49,,5,-4073.657097,-0.859,0.945,,,,,M-M dif dist,,,,,,,,,,6,1.092,6,1.430,,,,,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4OH*,-5400.740604,-5400.788362,,Au2Fe4OH*,-1.13,-1.05,,5,-4073.657097,-0.859,0.000,,,,0,0.001,0,0,,-0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuFe5OH*,-6528.752516,-6528.800665,,AuFe5OH*,-1.15,-1.13,,6,-4073.717382,-2.499,-1.640,,,,1,0.002,0,0,,-0.011,0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe6OH*,-7656.769226,-7656.815044,,Fe6OH*,-1.22,-1.19,,6,-4073.717382,-2.499,0.000,,,,2,0.063,-0.017,0.012,,-0.114,0.05,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eads,,,,7,-4073.710767,-2.319,0.180,,,,3,0,-0.001,-0.006,,0,0.02,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6H2O2,-964.184789,-964.244003,,Au6H2O2,-0.24,-0.50,,7,-4073.710767,-2.319,0.000,,,,4,0,-0.006,-0.007,,0,0.008,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5FeH2O2,-2092.263091,-2092.318804,,Au5FeH2O2,-0.59,-0.72,,,,,,4.386,,,5,0,-0.001,-0.008,,0,0.003,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2H2O2,-3220.329906,-3220.385179,,Au4Fe2H2O2,-0.62,-0.76,,Fe2,G reacción,Au4Fe2,,,,,6,0,-0.008,0,,0,0.013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3H2O2,-4348.359214,-4348.413254,,Au3Fe3H2O2,-0.57,-0.74,,1,-6329.755502,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4H2O2,-5476.375915,-5476.426619,,Au2Fe4H2O2,-0.43,-0.60,,1,-6329.755502,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuFe5H2O2,-6604.387324,-6604.436157,,AuFe5H2O2,-0.58,-0.74,,2,-6329.755605,-0.003,,,,M6-CH4,M6-CH3,,M6-H2O2,M6-OH,,,,,,,,,,,,,,,,,,d(cluster-O),ts,a,AuxFey-CH3OH,,,,,,,,,,,,,,,,
Fe6H2O2,-7732.401288,-7732.448474,,Fe6H2O2,-0.51,-0.68,,2,-6329.755605,-0.003,,,0,3.065,2.063,0,2.501,1.986,,,,,,,,,,,,,,,,,,0,2.111,2.411,2.411,,,,,,,,,,,,,,,,
ts,,,,ts,,,,3,-6329.683125,1.969,1.972,,1,3.188,2.055,1,2.146,1.794,,,,,,,,,,,,,,,,,,1,1.851,2.132,2.123,,,,,,,,,,,,,,,,
Au6CH3OH,-928.259503,-928.315296,,Au6CH3OH,-0.74,-0.78,,3,-6329.683125,1.969,0.000,,2,3.153,1.996,2,2.156,1.797,,,,,,,,,,,,,,,,,,2,1.872,2.097,2.097,,,,,,,,,,,,,,,,
Au5FeCH3OH,-2056.360323,-2056.41927,,Au5FeCH3OH,0.54,0.44,,4,-6329.823458,-1.849,,,3,2.651,2.165,3,2.155,1.956,,,,,,,,,,,,,,,,,,3,2.089,2.12,2.134,,,,,,,,,,,,,,,,
Au4Fe2CH3OH,-3184.4268,-3184.486793,,Au4Fe2CH3OH,0.60,0.41,,4,-6329.823458,-1.849,,,4,2.508,2.02,4,2.211,1.804,,,,,,,,,,,,,,,,,,4,1.891,2.182,2.168,,,,,,,,,,,,,,,,
Au3Fe3CH3OH,-4312.475061,-4312.529493,,Au3Fe3CH3OH,0.96,0.84,,5,-6329.789601,-0.928,0.921,1.729,5,2.657,2.148,5,2.185,1.811,,,,,,,,,,,,,,,,,,5,1.881,2.134,2.133,,,,,,,,,,,,,,,,
Au2Fe4CH3OH,-5440.488887,-5440.542678,,Au2Fe4CH3OH,0.57,0.41,,5,-6329.789601,-0.928,0.000,,6,3.014,2.028,6,2.219,1.813,,,,,,,,,,,,,,,,,,6,1.861,2.143,2.142,,,,,,,,,,,,,,,,
AuFe5CH3OH,-6568.496104,-6568.548608,,AuFe5CH3OH,0.70,0.58,,6,-6329.85992,-2.841,-1.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe6CH3OH,-7696.50202,-7696.553748,,Fe6CH3OH,0.99,0.83,,6,-6329.85992,-2.841,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,a,,,23.06,7,-6329.840729,-2.319,0.522,,,,,,,,,,,,,,,,,,,,,,,,,d(O-C),ts,a,b,,,,,,,,,,,,,,,,
Au6CH3OH,-928.347038,-928.405383,,Au6CH3OH,-2.38,-2.45,-0.11,7,-6329.840729,-2.319,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0,2.027,1.425,1.425,,,,,,,,,,,,,,,,
Au5FeCH3OH,-2056.422154,-2056.479656,,Au5FeCH3OH,-1.68,-1.64,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.115,1.426,1.427,,,,,,,,,,,,,,,,
Au4Fe2CH3OH,-3184.49864,-3184.557112,,Au4Fe2CH3OH,-1.95,-1.91,-0.08,Fe3,G reacción,Au3Fe3,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.071,1.433,1.433,,,,,,,,,,,,,,,,
Au3Fe3CH3OH,-4312.519455,-4312.576427,,Au3Fe3CH3OH,-1.21,-1.28,-0.06,1,-8585.812874,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.891,1.43,1.432,,,,,,,,,,,,,,,,
Au2Fe4CH3OH,-5440.53457,-5440.587104,,Au2Fe4CH3OH,-1.24,-1.21,-0.05,1,-8585.812874,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.042,1.427,1.427,,,,,,,,,,,,,,,,
AuFe5CH3OH,-6568.546928,-6568.599245,,AuFe5CH3OH,-1.38,-1.38,-0.06,2,-8585.811294,0.043,,1.972,,,,,,,,,,,,,,,,,,,,,,,,5,2.012,1.43,1.43,,,,,,,,,,,,,,,,
Fe6CH3OH,-7696.559852,-7696.609791,,Fe6CH3OH,-1.57,-1.52,-0.07,2,-8585.811294,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.202,1.43,1.43,,,,,,,,,,,,,,,,
b,,,,b,,,,3,-8585.804539,0.227,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6CH3OH,-928.347039,-928.40539,,Au6CH3OH,0.00,0.00,,3,-8585.804539,0.227,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5FeCH3OH,-2056.42244,-2056.479555,,Au5FeCH3OH,-0.18,0.06,,4,-8585.910625,-2.660,,,,,,,,,,,,,,,,,,,,,,,,,,f(cluster-O),ts,a,b,,,,,,,,,,,,,,,,
Au4Fe2CH3OH,-3184.49864,-3184.557112,,Au4Fe2CH3OH,0.00,0.00,,4,-8585.910625,-2.660,,,,,,,,,,,,,,,,,,,,,,,,,,0,447,213,213,,,,,,,,,,,,,,,,
Au3Fe3CH3OH,-4312.520505,-4312.57674,,Au3Fe3CH3OH,-0.66,-0.20,,5,-8585.860987,-1.309,1.351,,,,,,,,,,,,,,,,,,,,,,,,,1,634,290,294,,,,,,,,,,,,,,,,
Au2Fe4CH3OH,-5440.534486,-5440.586743,,Au2Fe4CH3OH,0.05,0.23,,5,-8585.860987,-1.309,0.000,,,,,,,,,,,,,,,,,,,,,,,,,2,468,330,330,,,,,,,,,,,,,,,,
AuFe5CH3OH,-6568.546933,-6568.599337,,AuFe5CH3OH,0.00,-0.06,,6,-8585.908234,-2.595,-1.286,,,,,,,,,,,,,,,,,,,,,,,,,3,346,306,307,,,,,,,,,,,,,,,,
Fe6CH3OH,-7696.560319,-7696.610233,,Fe6CH3OH,-0.29,-0.28,,6,-8585.908234,-2.595,0.000,,,,,,,,,,,,,,,,,,,,,,,,,4,423,290,289,,,,,,,,,,,,,,,,
,,,,dissociation,,,,7,-8585.898101,-2.319,0.276,0.184,,,,,,,,,,,,,,,,,,,,,,,,5,449,306,306,,,,,,,,,,,,,,,,
,,,,Au6CH3OH,0.36,-0.02,0.00,7,-8585.898101,-2.319,0.000,,,,,,,,,,,,,,,,,,,,,,,,,6,447,290,292,,,,,,,,,,,,,,,,
,,,,Au5FeCH3OH,0.63,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Au4Fe2CH3OH,0.91,0.52,0.02,Fe4,G reacción,Au2Fe4,,,CH4,QAu,QFe,QAu+QFe,,qC,qC-QM6,,qO,qO-QM6,,,,,,,,,,,,,,f(O-C),ts,a,b,,,,,,,,,,,,,,,,
,,,,Au3Fe3CH3OH,0.67,0.28,0.01,1,-10841.85056,0.000,,,0,-0.018,,-0.018,,-0.879,-0.861,,,,,,,,,,,,,,,,,0,-418,1058,1058,,,,,,,,,,,,,,,,
,,,,Au2Fe4CH3OH,0.45,0.04,0.00,1,-10841.85056,0.000,,,1,-0.333,0.306,-0.027,,-0.852,-0.825,,,,,,,,,,,,,,,,,1,-525,1060,1057,,,,,,,,,,,,,,,,
,,,,AuFe5CH3OH,0.63,0.26,0.01,2,-10841.84453,0.164,,,2,-0.832,0.804,-0.028,,-0.861,-0.833,,,,,,,,,,,,,,,,,2,-561,1045,1045,,,,,,,,,,,,,,,,
,,,,Fe6CH3OH,0.54,0.16,0.01,2,-10841.84453,0.164,,,3,-0.717,0.666,-0.051,,-0.887,-0.836,,,,,,,,,,,,,,,,,3,-741,1050,1046,,,,,,,,,,,,,,,,
,,,,,,,,3,-10841.81052,1.090,0.925,,4,-0.535,0.47,-0.065,,-0.904,-0.839,,,,,,,,,,,,,,,,,4,-599,1052,1051,,,,,,,,,,,,,,,,
,,,,,,,,3,-10841.81052,1.090,0.000,,5,-0.488,0.45,-0.038,,-0.905,-0.867,,,,,,,,,,,,,,,,,5,-717,1049,1049,,,,,,,,,,,,,,,,
,,,,,,,,4,-10841.92666,-2.071,,,6,,-0.014,-0.014,,-0.889,-0.875,,,,,,,,,,,,,,,,,6,-401,1045,1049,,TS,a,b,,TS,a,b,,TS,a,b,,TS,a,b
,,,,,,,,4,-10841.92666,-2.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000,0.000,0.000,0,,,,0,0.000,0.000,0.000,0,0.000,0.000,0.000
,,,,,,,,5,-10841.89302,-1.155,0.916,0.925,H2O2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.002,-0.122,-0.122,1,3.553,3.590,3.586,1,-0.719,0.001,0.000,1,0.096,0.014,0.014
,,,,,,,,5,-10841.89302,-1.155,0.000,,0,-0.055,,-0.055,,,,-0.467,-0.879,-0.824,,,,,,H3C-H,,,HO-OH,M6-OH,,,,,,,,2,-0.005,0.154,0.149,2,3.656,3.685,3.696,2,0.742,0.002,0.002,2,0.011,0.006,0.007
,,,,,,,,6,-10841.93708,-2.354,-1.199,,1,-0.377,0.266,-0.111,,,,-0.444,-0.853,-0.742,,,,,0,3162,,0,998,,,,,,,,,3,0.056,0.107,0.106,3,3.440,3.558,3.560,3,0.586,-0.004,-0.002,3,-0.063,-0.004,-0.003
,,,,,,,,6,-10841.93708,-2.354,0.000,,2,-0.923,0.822,-0.101,,,,-0.454,-0.861,-0.760,,,,,1,3177,,1,976,,,,,,,,,4,0.046,0.074,0.070,4,3.311,3.463,3.463,4,0.744,0.000,-0.002,4,-0.035,-0.010,-0.011
,,,,,,,,7,-10841.93579,-2.319,0.035,,3,-0.706,0.623,-0.083,,,,-0.457,-0.868,-0.785,,,,,2,3175,,2,972,,,,,,,,,5,0.269,-0.008,0.180,5,3.451,3.366,3.366,5,-0.667,-0.003,-0.003,5,0.077,-0.008,-0.008
,,,,,,,,7,-10841.93579,-2.319,0.000,,4,-0.611,0.533,-0.078,,,,-0.451,-0.87,-0.792,,,,,3,3176,,3,983,,,,,,,,,6,,,,6,3.217,3.335,3.336,6,0.841,0.000,-0.006,6,-0.064,-0.007,-0.014
,,,,,,,,,,,,,5,-0.457,0.393,-0.064,,,,-0.459,-0.886,-0.822,,,,,4,3162,,4,973,,,,,,,QAu,,,,Qfe ,,,,qC,,,,QO,,,,,
,,,,,,,,Fe5,G reacción,AuFe5,,,6,,-0.048,-0.048,,,,-0.462,-0.894,-0.846,,,,,5,3148,,5,970,,,,,,,(e),TS,a,b,(e),TS,a,b,(e),TS,a,b,(e),TS,a,b,,
,,,,,,,,1,-13097.85895,0.000,,,CH3,,,,,,,,,,,,,,6,3153,,6,980,,,,,,,0,0.165,-0.066,-0.066,0,,,,0,-0.866,-0.264,-0.265,0,-0.412,-0.711,-0.711,,
,,,,,,,,1,-13097.85895,0.000,,,0,0.188,,0.188,,-0.831,-1.019,,,,,,,,,,,,,,,,,,,1,-0.167,-0.453,-0.456,1,0.483,0.323,0.322,1,-0.439,-0.264,-0.263,1,-0.927,-0.69,-0.692,,
,,,,,,,,2,-13097.85851,0.012,,,1,-0.205,0.513,0.308,,-0.97,-1.278,,,,,,,,,M6-CH4,M6-CH3,,M6-H2O2,M6-OH,,,,,,2,-0.535,-0.952,-0.957,2,0.858,0.824,0.828,2,-0.389,-0.266,-0.268,2,-0.969,-0.713,-0.706,,
,,,,,,,,2,-13097.85851,0.012,,,2,-0.448,0.781,0.333,,-1.01,-1.343,,,,,,,,0,62,484,0,186,497,,,,,,3,-0.694,-0.789,-0.815,3,0.985,0.681,0.702,3,-0.413,-0.268,-0.267,3,-0.961,-0.712,-0.706,,
,,,,,,,,3,-13097.82324,0.972,0.960,,3,-0.634,1.093,0.459,,-1.182,-1.641,,,,,,,,1,20,527,1,288,685,,,,,,4,-0.438,-0.603,-0.59,4,0.771,0.501,0.491,4,-0.41,-0.267,-0.27,4,-0.949,-0.697,-0.704,,
,,,,,,,,3,-13097.82324,0.972,0.000,,4,-0.501,1.013,0.512,,-1.168,-1.680,,,,,,,,2,59,508,2,287,676,,,,,,5,-0.509,-0.502,-0.502,5,0.855,0.394,0.394,5,-0.431,-0.269,-0.269,5,-0.94,-0.703,-0.703,,
,,,,,,,,4,-13097.94316,-2.291,,0.000,5,-0.224,0.635,0.411,,-1.119,-1.530,,,,,,,,3,145,443,3,298,529,,,,,,6,,,,6,0.372,-0.098,-0.097,6,-0.411,-0.271,-0.269,6,-0.967,-0.704,-0.705,,
,,,,,,,,4,-13097.94316,-2.291,,1.089,6,,0.523,0.523,,-1.171,-1.694,,,,,,,,4,149,514,4,280,654,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,-13097.90314,-1.203,1.089,,OH,,,,,,,,,,,,,,5,91,446,5,295,656,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,-13097.90314,-1.203,0.000,,0,0.438,,0.438,,,,,-0.892,-1.330,,,,,6,41,504,6,278,651,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,-13097.95387,-2.583,-1.380,,1,0.003,0.526,0.529,,,,,-1.003,-1.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,-13097.95387,-2.583,0.000,,2,-0.218,0.779,0.561,,,,,-1.032,-1.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,-13097.94417,-2.319,0.264,,3,-0.708,1.302,0.594,,,,,-1.087,-1.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,-13097.94417,-2.319,0.000,,4,-0.395,0.944,0.549,,,,,-1.015,-1.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,-0.494,1.085,0.591,,,,,-1.058,-1.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fe6,G reacción,Fe6,,,6,,0.59,0.59,,,,,-1.056,-1.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,-15353.88813,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,-15353.88813,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,-15353.88596,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,-15353.88596,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,-15353.85255,0.968,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,-15353.85255,0.968,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-36.92,94.96,,,,,,4,-15353.97213,-2.286,,0.000,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-189.820,61.67,,,,,,4,-15353.97213,-2.286,,1.340,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-203.220,66.73,,,,,,5,-15353.92287,-0.945,1.340,,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-258.270,35.39,,,,,,5,-15353.92287,-0.945,0.000,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-207.780,42.45,,,,,,6,-15353.97936,-2.482,-1.537,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-230.450,47.25,,,,,,6,-15353.97936,-2.482,0.000,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-218.500,51.87,,,,,,7,-15353.97336,-2.319,0.163,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,-15353.97336,-2.319,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,,,,ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
